FusionCopyColor,NewColorName,Hex,R,G,B,A
Plastic - Glossy (White),SilkPLA (White),#FFFFFF,255,255,255,0
Plastic - Glossy (White),SilkPLA (Silver),#EAECEB,234,236,235,0
Plastic - Glossy (White),SilkPLA (Pink),#EEB1C1,238,177,193,0
Plastic - Glossy (White),SilkPLA (Green),#4CE4A0,76,228,160,0
Plastic - Glossy (White),SilkPLA (Gold),#E5B03D,229,176,61,0
Plastic - Glossy (White),SilkPLA (Blue),#147BD1,20,123,209,0
Plastic - Glossy (White),SilkPLA (Purple),#854CE4,133,76,228,0
Plastic - Glossy (White),SilkPLA (Copper),#5E4B3C,94,75,60,0
