FusionCopyColor,NewColorName,Hex,R,G,B,A
Plastic - Translucent Glossy (White),TransPETG Gray,#8E8E8E,142,142,142,0
Plastic - Translucent Glossy (White),TransPETG Light Blue,#61B0FF,97,176,255,0
Plastic - Translucent Glossy (White),TransPETG Olive,#748C45,116,140,69,0
Plastic - Translucent Glossy (White),TransPETG Brown,#C9A381,201,163,129,0
Plastic - Translucent Glossy (White),TransPETG Teal,#77EDD7,119,237,215,0
Plastic - Translucent Glossy (White),TransPETG Orange,#FF911A,255,145,26,0
Plastic - Translucent Glossy (White),TransPETG Purple,#D6ABFF,214,171,255,0
Plastic - Translucent Glossy (White),TransPETG Pink,#F9C1BD,249,193,189,0
Plastic - Translucent Glossy (White),TransPETG Clear,#FAFAFA,250,250,250,0
